REZA SALEHI,REZA SALEHI (CA),1182/1182 Singles/Doubles Points ROOKIE
RHETT HERRING,REZA SALEHI (CA),1182/1182 Singles/Doubles Points ROOKIE
RHETT JENSEN,RHETT HERRING (AZ),2362/2362 Singles/Doubles Points EXPERT
RHO WESTFALL,RHO WESTFALL (TX),1800/1800 Singles/Doubles Points AMATEUR
RHODES MOORE,RHODES MOORE (OH),400/400 Singles/Doubles Points JUNIOR AMATEUR
RHONDA DURLEY,RHONDA DURLEY (CO),1800/1800 Singles/Doubles Points AMATEUR
RHONDA GOODMAN,RHONDA GOODMAN (CO),1800/1800 Singles/Doubles Points AMATEUR
RHONDA HUNTSBERGER,RHONDA HUNTSBERGER (TX),1800/1800 Singles/Doubles Points / Women's Singles/Doubles Points
RHONDA OLIVIER,RHONDA OLIVIER (LA),1800/1800 Singles/Doubles Points AMATEUR
RHYS ROBERTS,RHYS ROBERTS (UK),1800/1800 Singles/Doubles Points AMATEUR
RIC PELKEY,RHYS ROBERTS (UK),1800/1800 Singles/Doubles Points AMATEUR
RIC WHATLEY,RIC PELKEY (MI),1800/1800 Singles/Doubles Points AMATEUR
Ricardo Martinez,Ricardo Martinez (TX),801/875 Singles/Doubles Points BEGINNER
Ricardo Rodrigues,Ricardo Rodrigues (Esch / Alzelte),1600/1600 Singles/Doubles Points AMATEUR
RICARDO RODRIGUEZ,RICARDO RODRIGUEZ (CA),1800/1800 Singles/Doubles Points AMATEUR
RICH BEEDLE,RICH BEEDLE (IN),1800/1800 Singles/Doubles Points AMATEUR
Rich Byrd,Rich Byrd (KY),801/801 Singles/Doubles Points BEGINNER
RICH CANNON,RICH CANNON (GA),1182/1182 Singles/Doubles Points ROOKIE
Rich Carlson,RICH CANNON (GA),1182/1182 Singles/Doubles Points ROOKIE
Rich Chaffin,Rich Carlson (UT),800/800 Singles/Doubles Points BEGINNER
RICH COTTER,RICH COTTER (IL),1600/1661 Singles/Doubles Points AMATEUR
RICH DINELLO,RICH DINELLO (CT),1182/1182 Singles/Doubles Points ROOKIE
RICH FARMER,RICH FARMER (CA),1800/1800 Singles/Doubles Points AMATEUR
RICH FOSNER,RICH FOSNER (WA),3936/3899 Singles/Doubles Points PRO
RICH GIUSENE,RICH GIUSENE (CO),1800/1800 Singles/Doubles Points AMATEUR
Rich Hanners,"Rich ""The Hack"" a Hanners (IN)",1182/1182 Singles/Doubles Points ROOKIE
RICH HILBUN,RICH HILBUN (UT),1800/1800 Singles/Doubles Points AMATEUR
Rich Key,Rich Key (),1182/1182 Singles/Doubles Points ROOKIE
RICH KRAPF,RICH KRAPF (MI),1182/1182 Singles/Doubles Points ROOKIE
RICH LANDERS,RICH LANDERS (IN),1800/1800 Singles/Doubles Points AMATEUR
RICH LEHMANN,RICH LEHMANN (MO),1800/1800 Singles/Doubles Points AMATEUR
RICH LEMKE,RICH LEMKE (IA),1800/1800 Singles/Doubles Points AMATEUR
RICH LONGWORTH,RICH LONGWORTH (IN),1800/1800 Singles/Doubles Points AMATEUR
